id,model,url,status
78,Note 30,https://www.gsmarena.com/infinix_note_30-12288.php,pending
79,Note 30 5G,https://www.gsmarena.com/infinix_note_30_5g-12272.php,pending
80,Note 30 Pro,https://www.gsmarena.com/infinix_note_30_pro-12273.php,pending
81,Note 30 VIP,https://www.gsmarena.com/infinix_note_30_vip-12365.php,pending
82,Note 30i,https://www.gsmarena.com/infinix_note_30i-12274.php,pending
83,Note 3 Pro,https://www.gsmarena.com/infinix_note_3_pro-9476.php,pending
84,Note 4,https://www.gsmarena.com/infinix_note_4-9418.php,pending
85,Note 40,https://www.gsmarena.com/infinix_note_40-12877.php,pending
86,Note 40 5G,https://www.gsmarena.com/infinix_note_40_5g-13035.php,pending
87,Note 40 Pro+,https://www.gsmarena.com/infinix_note_40_pro+-12874.php,pending
88,Note 40 Pro,https://www.gsmarena.com/infinix_note_40_pro-12875.php,pending
89,Note 40 Pro 4G,https://www.gsmarena.com/infinix_note_40_pro_4g-12876.php,pending
90,Note 40S,https://www.gsmarena.com/infinix_note_40s-13460.php,pending
91,Note 40X 5G,https://www.gsmarena.com/infinix_note_40x_5g-13246.php,pending
92,Note 4 Pro,https://www.gsmarena.com/infinix_note_4_pro-9419.php,pending
93,Note 5,https://www.gsmarena.com/infinix_note_5-9417.php,pending
94,Note 50 4G,https://www.gsmarena.com/infinix_note_50_4g-13705.php,pending
95,Note 50 Pro+,https://www.gsmarena.com/infinix_note_50_pro+-13746.php,pending
96,Note 50 Pro 4G,https://www.gsmarena.com/infinix_note_50_pro_4g-13701.php,pending
97,Note 50s,https://www.gsmarena.com/infinix_note_50s_5g-13793.php,pending
98,Note 50x,https://www.gsmarena.com/infinix_note_50x-13747.php,pending
99,Note 5 Stylus,https://www.gsmarena.com/infinix_note_5_stylus-9416.php,pending
100,Note 6,https://www.gsmarena.com/infinix_note_6-9761.php,pending
101,Note 7,https://www.gsmarena.com/infinix_note_7-10175.php,pending
102,Note 7 Lite,https://www.gsmarena.com/infinix_note_7_lite-10177.php,pending
103,Note 8,https://www.gsmarena.com/infinix_note_8-10514.php,pending
104,Note 8i,https://www.gsmarena.com/infinix_note_8i-10515.php,pending
105,S2 Pro,https://www.gsmarena.com/infinix_s2_pro-9422.php,pending
106,S3X,https://www.gsmarena.com/infinix_s3x-9420.php,pending
107,S4,https://www.gsmarena.com/infinix_s4-9678.php,pending
108,S5,https://www.gsmarena.com/infinix_s5-9915.php,pending
109,S5 lite,https://www.gsmarena.com/infinix_s5_lite-10008.php,pending
110,S5 Pro,https://www.gsmarena.com/infinix_s5_pro-10116.php,pending
111,S5 Pro (16+32),https://www.gsmarena.com/infinix_s5_pro_(16+32)-10128.php,pending
112,S5 Pro (48+40),https://www.gsmarena.com/infinix_s5_pro_(48+40)-10127.php,pending
113,Smart,https://www.gsmarena.com/infinix_smart-9431.php,pending
114,Smart3 Plus,https://www.gsmarena.com/infinix_smart3_plus-9680.php,pending
115,Smart 10,https://www.gsmarena.com/infinix_smart_10-13933.php,pending
116,Smart 10 HD,https://www.gsmarena.com/infinix_smart_10_hd-13954.php,pending
117,Smart 10 Plus,https://www.gsmarena.com/infinix_smart_10_plus-13953.php,pending
118,Smart 2,https://www.gsmarena.com/infinix_smart_2-9430.php,pending
119,Smart 2 HD,https://www.gsmarena.com/infinix_smart_2_hd-9477.php,pending
120,Smart 2 Pro,https://www.gsmarena.com/infinix_smart_2_pro-9429.php,pending
121,Smart 4,https://www.gsmarena.com/infinix_smart_4-9980.php,pending
122,Smart 4c,https://www.gsmarena.com/infinix_smart_4c-9975.php,pending
123,Smart 5,https://www.gsmarena.com/infinix_smart_5-10367.php,pending
124,Smart 5 (India),https://www.gsmarena.com/infinix_smart_5_(india)-10735.php,pending
125,Smart 5 Pro,https://www.gsmarena.com/infinix_smart_5_pro-11221.php,pending
126,Smart 6,https://www.gsmarena.com/infinix_smart_6-11189.php,pending
127,Smart 6 HD,https://www.gsmarena.com/infinix_smart_6_hd-11499.php,pending
128,Smart 6 Plus (India),https://www.gsmarena.com/infinix_smart_6_plus_(india)-11742.php,pending
129,Smart 7,https://www.gsmarena.com/infinix_smart_7-12116.php,pending
130,Smart 7 (India),https://www.gsmarena.com/infinix_smart_7_(india)-12131.php,pending
131,Smart 7 HD,https://www.gsmarena.com/infinix_smart_7_hd-12243.php,pending
132,Smart 8,https://www.gsmarena.com/infinix_smart_8-12642.php,pending
133,Smart 8 (India),https://www.gsmarena.com/infinix_smart_8_(india)-12792.php,pending
134,Smart 8 HD,https://www.gsmarena.com/infinix_smart_8_hd-12736.php,pending
135,Smart 8 Plus,https://www.gsmarena.com/infinix_smart_8_plus-12817.php,pending
136,Smart 8 Pro,https://www.gsmarena.com/infinix_smart_8_pro-12812.php,pending
137,Smart 9,https://www.gsmarena.com/infinix_smart_9-13374.php,pending
138,Smart 9 HD,https://www.gsmarena.com/infinix_smart_9_hd-13590.php,pending
139,Smart HD 2021,https://www.gsmarena.com/infinix_smart_hd_2021-10646.php,pending
140,Zero 20,https://www.gsmarena.com/infinix_zero_20-11913.php,pending
141,Zero 30,https://www.gsmarena.com/infinix_zero_30-12518.php,pending
142,Zero 30 4G,https://www.gsmarena.com/infinix_zero_30_4g-12641.php,pending
143,Zero 4,https://www.gsmarena.com/infinix_zero_4-9478.php,pending
144,Zero 40,https://www.gsmarena.com/infinix_zero_40-13290.php,pending
145,Zero 40 4G,https://www.gsmarena.com/infinix_zero_40_4g-13276.php,pending
146,Zero 4 Plus,https://www.gsmarena.com/infinix_zero_4_plus-9479.php,pending
147,Zero 5,https://www.gsmarena.com/infinix_zero_5-9414.php,pending
148,Zero 5 Pro,https://www.gsmarena.com/infinix_zero_5_pro-9415.php,pending
149,Zero 5G,https://www.gsmarena.com/infinix_zero_5g-11355.php,pending
150,Zero 5G 2023,https://www.gsmarena.com/infinix_zero_5g_2023-11976.php,pending
151,Zero 6,https://www.gsmarena.com/infinix_zero_6-9656.php,pending
152,Zero 6 Pro,https://www.gsmarena.com/infinix_zero_6_pro-9657.php,pending
153,Zero 8,https://www.gsmarena.com/infinix_zero_8-10401.php,pending
154,Zero 8i,https://www.gsmarena.com/infinix_zero_8i-10622.php,pending
155,Zero Flip,https://www.gsmarena.com/infinix_zero_flip-13347.php,pending
156,Zero Ultra,https://www.gsmarena.com/infinix_zero_ultra-11922.php,pending
157,Zero X,https://www.gsmarena.com/infinix_zero_x-11097.php,pending
158,Zero X Neo,https://www.gsmarena.com/infinix_zero_x_neo-11098.php,pending
159,Zero X Pro,https://www.gsmarena.com/infinix_zero_x_pro-10989.php,pending
