phone_id,model,url,display_ratio,display_area_cm2,resolution,screen_size,ppi,os,chipset,ram,storage,battery,status_code,error_message
1,iPhone,https://www.gsmarena.com/apple_iphone-1827.php,3:2,36.48,320x480,"3.5""",,,,,,,200,
2,iPhone 11,https://www.gsmarena.com/apple_iphone_11-9848.php,19.5:9,91.34,828x1792,"6.1""",,,,,,,200,
3,iPhone 11 Pro,https://www.gsmarena.com/apple_iphone_11_pro-9847.php,19.5:9,82.58,1125x2436,"5.8""",,,,,,,200,
4,iPhone 11 Pro Max,https://www.gsmarena.com/apple_iphone_11_pro_max-9846.php,19.5:9,103.71,1242x2688,"6.5""",,,,,,,200,
5,iPhone 12,https://www.gsmarena.com/apple_iphone_12-10509.php,19.5:9,91.34,1170x2532,"6.1""",,,,,,,200,
6,iPhone 12 mini,https://www.gsmarena.com/apple_iphone_12_mini-10510.php,19.5:9,71.58,1080x2340,"5.4""",,,,,,,200,
7,iPhone 12 Pro,https://www.gsmarena.com/apple_iphone_12_pro-10508.php,19.5:9,91.34,1170x2532,"6.1""",,,,,,,200,
8,iPhone 12 Pro Max,https://www.gsmarena.com/apple_iphone_12_pro_max-10237.php,19.5:9,110.19,1284x2778,"6.7""",,,,,,,200,
9,iPhone 13,https://www.gsmarena.com/apple_iphone_13-11103.php,19.5:9,91.34,1170x2532,"6.1""",,,,,,,200,
10,iPhone 13 mini,https://www.gsmarena.com/apple_iphone_13_mini-11104.php,19.5:9,71.58,1080x2340,"5.4""",,,,,,,200,
11,iPhone 13 Pro,https://www.gsmarena.com/apple_iphone_13_pro-11102.php,19.5:9,91.34,1170x2532,"6.1""",,,,,,,200,
12,iPhone 13 Pro Max,https://www.gsmarena.com/apple_iphone_13_pro_max-11089.php,19.5:9,110.19,1284x2778,"6.7""",,,,,,,200,
13,iPhone 14,https://www.gsmarena.com/apple_iphone_14-11861.php,19.5:9,91.34,1170x2532,"6.1""",,,,,,,200,
14,iPhone 14 Plus,https://www.gsmarena.com/apple_iphone_14_plus-11862.php,19.5:9,110.19,1284x2778,"6.7""",,,,,,,200,
15,iPhone 14 Pro,https://www.gsmarena.com/apple_iphone_14_pro-11860.php,19.5:9,91.34,1179x2556,"6.1""",,,,,,,200,
16,iPhone 14 Pro Max,https://www.gsmarena.com/apple_iphone_14_pro_max-11773.php,19.5:9,110.19,1290x2796,"6.7""",,,,,,,200,
17,iPhone 15,https://www.gsmarena.com/apple_iphone_15-12559.php,19.5:9,91.34,1179x2556,"6.1""",,,,,,,200,
18,iPhone 15 Plus,https://www.gsmarena.com/apple_iphone_15_plus-12558.php,19.5:9,110.19,1290x2796,"6.7""",,,,,,,200,
