phone_id,model,url,display_ratio,display_area_cm2,resolution,screen_size,ppi,os,chipset,ram,storage,battery,status_code,error_message
3,Galaxy A02,https://www.gsmarena.com/samsung_galaxy_a02-10708.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
4,Galaxy A02s,https://www.gsmarena.com/samsung_galaxy_a02s-10603.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
5,Galaxy A03,https://www.gsmarena.com/samsung_galaxy_a03-11244.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
6,Galaxy A03 Core,https://www.gsmarena.com/samsung_galaxy_a03_core-11215.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
7,Galaxy A03s,https://www.gsmarena.com/samsung_galaxy_a03s-10937.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
8,Galaxy A04,https://www.gsmarena.com/samsung_galaxy_a04-11817.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
9,Galaxy A04e,https://www.gsmarena.com/samsung_galaxy_a04e-11945.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
10,Galaxy A04s,https://www.gsmarena.com/samsung_galaxy_a04s-11803.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
11,Galaxy A05,https://www.gsmarena.com/samsung_galaxy_a05-12583.php,20:9,108.38,720x1600,"6.7""",,,,,,,200,
12,Galaxy A05s,https://www.gsmarena.com/samsung_galaxy_a05s-12584.php,20:9,108.38,1080x2400,"6.7""",,,,,,,200,
13,Galaxy A06,https://www.gsmarena.com/samsung_galaxy_a06-13265.php,20:9,108.38,720x1600,"6.7""",,,,,,,200,
14,Galaxy A06 5G,https://www.gsmarena.com/samsung_galaxy_a06_5g-13662.php,20:9,108.38,720x1600,"6.7""",,,,,,,200,
15,Galaxy A07 4G,https://www.gsmarena.com/samsung_galaxy_a07-14066.php,20:9,108.38,720x1600,"6.7""",,,,,,,200,
16,Galaxy A10,https://www.gsmarena.com/samsung_galaxy_a10-9580.php,19:9,95.95,720x1520,"6.2""",,,,,,,200,
17,Galaxy A10e,https://www.gsmarena.com/samsung_galaxy_a10e-9790.php,19.5:9,83.43,720x1560,"5.83""",,,,,,,200,
18,Galaxy A10s,https://www.gsmarena.com/samsung_galaxy_a10s-9793.php,19:9,95.95,720x1520,"6.2""",,,,,,,200,
19,Galaxy A11,https://www.gsmarena.com/samsung_galaxy_a11-10132.php,19.5:9,100.55,720x1560,"6.4""",,,,,,,200,
20,Galaxy A12,https://www.gsmarena.com/samsung_galaxy_a12-10604.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
21,Galaxy A12 (India),https://www.gsmarena.com/samsung_galaxy_a12_(india)-11087.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
22,Galaxy A12 Nacho,https://www.gsmarena.com/samsung_galaxy_a12_nacho-11041.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
23,Galaxy A13,https://www.gsmarena.com/samsung_galaxy_a13-11402.php,20:9,105.17,1080x2408,"6.6""",,,,,,,200,
24,Galaxy A13 (SM-A137),https://www.gsmarena.com/samsung_galaxy_a13_(sm_a137)-11665.php,20:9,105.17,1080x2408,"6.6""",,,,,,,200,
25,Galaxy A13 5G,https://www.gsmarena.com/samsung_galaxy_a13_5g-11149.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
26,Galaxy A14,https://www.gsmarena.com/samsung_galaxy_a14-12151.php,20:9,105.17,1080x2408,"6.6""",,,,,,,200,
27,Galaxy A14 5G,https://www.gsmarena.com/samsung_galaxy_a14_5g-12004.php,20:9,105.17,1080x2408,"6.6""",,,,,,,200,
28,Galaxy A15,https://www.gsmarena.com/samsung_galaxy_a15-12637.php,19.5:9,103.71,1080x2340,"6.5""",,,,,,,200,
29,Galaxy A15 5G,https://www.gsmarena.com/samsung_galaxy_a15_5g-12638.php,19.5:9,103.71,1080x2340,"6.5""",,,,,,,200,
30,Galaxy A16,https://www.gsmarena.com/samsung_galaxy_a16-13383.php,19.5:9,110.19,1080x2340,"6.7""",,,,,,,200,
31,Galaxy A16 5G,https://www.gsmarena.com/samsung_galaxy_a16_5g-13346.php,19.5:9,110.19,1080x2340,"6.7""",,,,,,,200,
32,Galaxy A17 4G,https://www.gsmarena.com/samsung_galaxy_a17-14157.php,19.5:9,110.19,1080x2340,"6.7""",,,,,,,200,
33,Galaxy A17,https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php,19.5:9,110.19,1080x2340,"6.7""",,,,,,,200,
34,Galaxy A20,https://www.gsmarena.com/samsung_galaxy_a20-9640.php,19.5:9,100.55,720x1560,"6.4""",,,,,,,200,
35,Galaxy A20e,https://www.gsmarena.com/samsung_galaxy_a20e-9661.php,19.5:9,82.58,720x1560,"5.8""",,,,,,,200,
36,Galaxy A20s,https://www.gsmarena.com/samsung_galaxy_a20s-9852.php,19.5:9,103.71,720x1560,"6.5""",,,,,,,200,
37,Galaxy A21,https://www.gsmarena.com/samsung_galaxy_a21-10172.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
38,Galaxy A21s,https://www.gsmarena.com/samsung_galaxy_a21s-10239.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
39,Galaxy A22,https://www.gsmarena.com/samsung_galaxy_a22-10948.php,20:9,98.89,720x1600,"6.4""",,,,,,,200,
40,Galaxy A22 5G,https://www.gsmarena.com/samsung_galaxy_a22_5g-10873.php,20:9,105.17,1080x2400,"6.6""",,,,,,,200,
41,Galaxy A23,https://www.gsmarena.com/samsung_galaxy_a23-11373.php,20:9,105.17,1080x2408,"6.6""",,,,,,,200,
42,Galaxy A23 5G,https://www.gsmarena.com/samsung_galaxy_a23_5g-11736.php,20:9,105.17,1080x2408,"6.6""",,,,,,,200,
43,Galaxy A24 4G,https://www.gsmarena.com/samsung_galaxy_a24_4g-12176.php,19.5:9,103.71,1080x2340,"6.5""",,,,,,,200,
44,Galaxy A25,https://www.gsmarena.com/samsung_galaxy_a25-12555.php,19.5:9,103.71,1080x2340,"6.5""",,,,,,,200,
45,Galaxy A26,https://www.gsmarena.com/samsung_galaxy_a26-13679.php,19.5:9,110.19,1080x2340,"6.7""",,,,,,,200,
46,Galaxy A2 Core,https://www.gsmarena.com/samsung_galaxy_a2_core-9636.php,16:9,68.92,540x960,"5.0""",,,,,,,200,
47,Galaxy A3,https://www.gsmarena.com/samsung_galaxy_a3-6762.php,16:9,55.82,540x960,"4.5""",,,,,,,200,
