phone_id,model,url,display_ratio,display_area_cm2,resolution,screen_size,ppi,os,chipset,ram,storage,battery,status_code,error_message
47,Moto E13,https://www.gsmarena.com/motorola_moto_e13-12090.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
48,Moto E14,https://www.gsmarena.com/motorola_moto_e14-13148.php,20:9,103.90,720x1612,"6.56""",,,,,,,200,
49,Moto E15,https://www.gsmarena.com/motorola_moto_e15-13574.php,20:9,107.41,720x1604,"6.67""",,,,,,,200,
50,Moto E20,https://www.gsmarena.com/motorola_moto_e20-11072.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
51,Moto E22,https://www.gsmarena.com/motorola_moto_e22-11883.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
52,Moto E22i,https://www.gsmarena.com/motorola_moto_e22i-11884.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
53,Moto E22s,https://www.gsmarena.com/motorola_moto_e22s-11837.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
54,Moto E3,https://www.gsmarena.com/motorola_moto_e3-8198.php,16:9,68.92,720x1280,"5.0""",,,,,,,200,
55,Moto E30,https://www.gsmarena.com/motorola_moto_e30-11199.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
56,Moto E32,https://www.gsmarena.com/motorola_moto_e32-11485.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
57,Moto E32 (India),https://www.gsmarena.com/motorola_moto_e32_(india)-11920.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
58,Moto E32s,https://www.gsmarena.com/motorola_moto_e32s-11555.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
59,Moto E3 Power,https://www.gsmarena.com/motorola_moto_e3_power-8337.php,16:9,68.92,720x1280,"5.0""",,,,,,,200,
60,Moto E4,https://www.gsmarena.com/motorola_moto_e4-8721.php,16:9,68.92,720x1280,"5.0""",,,,,,,200,
61,Moto E40,https://www.gsmarena.com/motorola_moto_e40-11112.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
62,Moto E4 (USA),https://www.gsmarena.com/motorola_moto_e4_(usa)-8665.php,16:9,68.92,720x1280,"5.0""",,,,,,,200,
63,Moto E4 Plus,https://www.gsmarena.com/motorola_moto_e4_plus-8722.php,16:9,83.39,720x1280,"5.5""",,,,,,,200,
64,Moto E4 Plus (USA),https://www.gsmarena.com/motorola_moto_e4_plus_(usa)-8666.php,16:9,83.39,720x1280,"5.5""",,,,,,,200,
65,Moto E5,https://www.gsmarena.com/motorola_moto_e5-9008.php,18:9,83.84,720x1440,"5.7""",,,,,,,200,
66,Moto E5 Cruise,https://www.gsmarena.com/motorola_moto_e5_cruise-9575.php,16:9,74.54,720x1280,"5.2""",,,,,,,200,
67,Moto E5 Play,https://www.gsmarena.com/motorola_moto_e5_play-9175.php,16:9,74.54,720x1280,"5.2""",,,,,,,200,
68,Moto E5 Play Go,https://www.gsmarena.com/motorola_moto_e5_play_go-9270.php,18:9,69.78,480x960,"5.2""",,,,,,,200,
69,Moto E5 Plus,https://www.gsmarena.com/motorola_moto_e5_plus-9095.php,18:9,92.90,720x1440,"6.0""",,,,,,,200,
70,Moto E6,https://www.gsmarena.com/motorola_moto_e6-9682.php,18:9,78.06,720x1440,"5.5""",,,,,,,200,
71,Moto E6 Play,https://www.gsmarena.com/motorola_moto_e6_play-9932.php,18:9,78.06,720x1440,"5.5""",,,,,,,200,
72,Moto E6 Plus,https://www.gsmarena.com/motorola_moto_e6_plus-9831.php,19.5:9,91.34,720x1560,"6.1""",,,,,,,200,
73,Moto E6i,https://www.gsmarena.com/motorola_moto_e6i-10734.php,19.5:9,91.34,720x1560,"6.1""",,,,,,,200,
74,Moto E6s (2020),https://www.gsmarena.com/motorola_moto_e6s_(2020)-10135.php,19.5:9,91.34,720x1560,"6.1""",,,,,,,200,
75,Moto E7,https://www.gsmarena.com/motorola_moto_e7-10511.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
76,Moto E7 Plus,https://www.gsmarena.com/motorola_moto_e7_plus-10436.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
77,Moto E7 Power,https://www.gsmarena.com/motorola_moto_e7_power-10738.php,20:9,102.32,720x1600,"6.51""",,,,,,,200,
78,Moto E7i Power,https://www.gsmarena.com/motorola_moto_e7i_power-11000.php,20:9,102.32,720x1600,"6.51""",,,,,,,200,
79,Moto E (2020),https://www.gsmarena.com/motorola_moto_e_(2020)-10287.php,19:9,95.95,720x1520,"6.2""",,,,,,,200,
80,Moto G04,https://www.gsmarena.com/motorola_moto_g04-12803.php,20:9,103.90,720x1612,"6.56""",,,,,,,200,
81,Moto G04s,https://www.gsmarena.com/motorola_moto_g04s-12921.php,20:9,103.90,720x1612,"6.56""",,,,,,,200,
82,Moto G05,https://www.gsmarena.com/motorola_moto_g05-13573.php,20:9,107.41,720x1604,"6.67""",,,,,,,200,
83,Moto G06,https://www.gsmarena.com/motorola_moto_g06-14115.php,55:21,101.76,720x1640,"6.88""",,,,,,,200,
84,Moto G06 Power,https://www.gsmarena.com/motorola_moto_g06_power-14125.php,74:45,135.57,720x1640,"6.88""",,,,,,,200,
85,Moto G10,https://www.gsmarena.com/motorola_moto_g10-10723.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
86,Moto G100 (2021),https://www.gsmarena.com/motorola_moto_g100-10791.php,21:9,104.86,1080x2520,"6.7""",,,,,,,200,
87,Moto G100,https://www.gsmarena.com/motorola_moto_g100_5g_(china)-14228.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
88,Moto G100S,https://www.gsmarena.com/motorola_moto_g100s_5g_(china)-14293.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
89,Moto G10 Power,https://www.gsmarena.com/motorola_moto_g10_power-10778.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
90,Moto G13,https://www.gsmarena.com/motorola_moto_g13-12091.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
91,Moto G14,https://www.gsmarena.com/motorola_moto_g14-12447.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
92,Moto G15,https://www.gsmarena.com/motorola_moto_g15-13507.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
93,Moto G15 Power,https://www.gsmarena.com/motorola_moto_g15_power-13572.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
94,Moto G20,https://www.gsmarena.com/motorola_moto_g20-10828.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
95,Moto G200 5G,https://www.gsmarena.com/motorola_moto_g200_5g-11222.php,1633:1,0.18,1080x2460,"6.8""",,,,,,,200,
96,Moto G22,https://www.gsmarena.com/motorola_moto_g22-11365.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
97,Moto G23,https://www.gsmarena.com/motorola_moto_g23-12088.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
98,Moto G24,https://www.gsmarena.com/motorola_moto_g24-12802.php,20:9,103.90,720x1612,"6.56""",,,,,,,200,
99,Moto G24 Power,https://www.gsmarena.com/motorola_moto_g24_power-12813.php,20:9,103.90,720x1612,"6.56""",,,,,,,200,
100,Moto G30,https://www.gsmarena.com/motorola_moto_g30-10724.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
101,Moto G31,https://www.gsmarena.com/motorola_moto_g31-11225.php,20:9,98.89,1080x2400,"6.4""",,,,,,,200,
102,Moto G32,https://www.gsmarena.com/motorola_moto_g32-11733.php,20:9,102.01,1080x2400,"6.5""",,,,,,,200,
103,Moto G34,https://www.gsmarena.com/motorola_moto_g34-12759.php,20:9,102.01,720x1600,"6.5""",,,,,,,200,
104,Moto G35,https://www.gsmarena.com/motorola_moto_g35-13288.php,20:9,109.03,1080x2400,"6.72""",,,,,,,200,
105,Moto G4,https://www.gsmarena.com/motorola_moto_g4-8103.php,16:9,83.39,1080x1920,"5.5""",,,,,,,200,
106,Moto G40 Fusion,https://www.gsmarena.com/motorola_moto_g40_fusion-10862.php,,,1080x2460,"6.8""",,,,,,,200,
