phone_id,model,url,body_dimensions,body_weight,body_build,sim,display_type,display_size,resolution,protection,status_code,error_message
1,Realme GT5 Pro,https://www.gsmarena.com/realme_gt5_pro-12711.php,47.6 x 41.1 x 10.5 mm (1.87 x 1.62 x 0.41 in),31.5 g (1.13 oz),"Plastic back, aluminum frame",No,"AMOLED, 600 nits (peak)",1.97 inches,450 x 390 pixels (~302 ppi density),,200,
2,Realme 11 Pro+,https://www.gsmarena.com/realme_11_pro+-12246.php,161.6 x 73.9 x 8.2 mm or 8.7 mm,183 g or 189 g (6.46 oz),"Glass front, leather or plastic back, plastic frame",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, HDR10+, 120Hz, 950 nits (peak)","6.7 inches, 108.0 cm2 (~90.5% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",,200,
