phone_id,model,url,body_dimensions,body_weight,body_build,sim,display_type,display_size,resolution,protection,status_code,error_message
42,14 Pro Lite,https://www.gsmarena.com/realme_14_pro_lite-13706.php,161.3 x 73.9 x 8.2 mm (6.35 x 2.91 x 0.32 in),188 g (6.63 oz),,Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 2000 nits (peak)","6.7 inches, 108.0 cm2 (~90.6% screen-to-body ratio)","1080 x 2412 pixels, 20:9 ratio (~394 ppi density)",Corning Gorilla Glass 7i,200,
43,Neo7 SE,https://www.gsmarena.com/realme_neo7_se-13676.php,162.5 x 76.3 x 8.6 mm (6.40 x 3.00 x 0.34 in),212 g (7.48 oz),,Nano-SIM + Nano-SIM,"LTPO OLED, 1B colors, 120Hz, HDR, 1600 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~90.1% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),Crystal Armor glass,200,
44,Neo7x,https://www.gsmarena.com/realme_neo7x-13677.php,163.2 x 75.7 x 8 mm (6.43 x 2.98 x 0.31 in),194 g (6.84 oz),,Nano-SIM + Nano-SIM,"AMOLED, 120Hz, 2000 nits (peak)","6.67 inches, 107.4 cm2 (~86.9% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~395 ppi density)",,200,
45,P3 Pro,https://www.gsmarena.com/realme_p3_pro-13667.php,163.5 x 77.3 x 8 mm or 8.3 mm,190 g or 192 g (6.70 oz),"Glass front, aluminum alloy frame, plastic back or silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,"AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM), 1500 nits (peak)","6.83 inches, 113.3 cm2 (~89.7% screen-to-body ratio)",1272 x 2800 pixels (~450 ppi density),,200,
46,P3x,https://www.gsmarena.com/realme_p3x-13665.php,165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in),197 g (6.95 oz),"Glass front, aluminum frame, plastic back or silicone polymer back (eco leather)",Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 950 nits (peak)","6.72 inches, 109.0 cm2 (~86.3% screen-to-body ratio)","1080 x 2400 pixels, 20:9 ratio (~392 ppi density)",ArmorShell glass,200,
47,GT7 Pro Racing,https://www.gsmarena.com/realme_gt7_pro_racing-13664.php,162.5 x 76.9 x 8.6 mm (6.40 x 3.03 x 0.34 in),218 g  (7.69 oz),"Glass front, aluminum frame, glass back",Nano-SIM + Nano-SIM,"LTPO AMOLED, 1B colors, 120Hz, HDR10+, Dolby Vision, 1500 nits (HBM), 6000 nits (peak)","6.78 inches, 111.7 cm2 (~89.4% screen-to-body ratio)",1264 x 2780 pixels (~450 ppi density),,200,
48,14x,https://www.gsmarena.com/realme_14x-13646.php,165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in),190 g (6.70 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 625 nits","6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",Mohs level 5,200,
49,14 Pro,https://www.gsmarena.com/realme_14_pro-13586.php,162.8 x 74.9 x 7.6 mm or 7.8 mm,179 g or 182 g (6.31 oz),,Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, 3840Hz PWM, 1400 nits (HBM), 4500 nits (peak)","6.77 inches, 110.9 cm2 (~90.9% screen-to-body ratio)",1080 x 2392 pixels (~388 ppi density),Mohs level 6,200,
50,14 Pro+,https://www.gsmarena.com/realme_14_pro+-13585.php,163.5 x 77.3 x 8 mm or 8.3 mm,194 g or 196 g (6.84 oz),"Glass front (Gorilla Glass 7i), plastic frame, plastic back",· Nano-SIM + Nano-SIM + eSIM (max 2 at a time)· Nano-SIM + Nano-SIM,"OLED, 1B colors, 120Hz, 3840Hz PWM, 1200 nits (HBM), 1500 nits (peak)","6.83 inches, 113.3 cm2 (~89.7% screen-to-body ratio)",1272 x 2800 pixels (~450 ppi density),"Corning Gorilla Glass 7i, Mohs level 5",200,
51,14x (India),https://www.gsmarena.com/realme_14x_(india)-13555.php,165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in),197 g (6.95 oz),,Nano-SIM + Nano-SIM,"IPS LCD, 120Hz, 625 nits","6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio)","720 x 1604 pixels, 20:9 ratio (~264 ppi density)",,200,
