ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
40,"Hot 50 Pro+ 4G",https://www.gsmarena.com/infinix_hot_50_pro+_4g-13408.php,31:57,124.47,1080x2436,6.78",N/A,SUCCESS,2025-12-16 19:25:57
41,"Hot 50 Pro 4G",https://www.gsmarena.com/infinix_hot_50_pro_4g-13461.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 19:26:58
42,"Hot 50i",https://www.gsmarena.com/infinix_hot_50i-13375.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-16 19:27:59
43,"Hot 5 Lite",https://www.gsmarena.com/infinix_hot_5_lite-9428.php,16:9,83.39,720x1280,5.5",N/A,SUCCESS,2025-12-16 19:29:00
44,"Hot 6",https://www.gsmarena.com/infinix_hot_6-9426.php,18:9,92.90,720x1440,6.0",N/A,SUCCESS,2025-12-16 19:30:01
45,"Hot 60",https://www.gsmarena.com/infinix_hot_60_5g-14006.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-16 19:31:02
46,"Hot 60 Pro+",https://www.gsmarena.com/infinix_hot_60_pro+-14002.php,20:9,110.98,1224x2720,6.78",N/A,SUCCESS,2025-12-16 19:32:03
47,"Hot 60 Pro",https://www.gsmarena.com/infinix_hot_60_pro-14003.php,20:9,110.98,1224x2720,6.78",N/A,SUCCESS,2025-12-16 19:33:04
48,"Hot 60i 4G",https://www.gsmarena.com/infinix_hot_60i-13983.php,20:9,108.38,720x1600,6.7",N/A,SUCCESS,2025-12-16 19:34:06
49,"Hot 60i",https://www.gsmarena.com/infinix_hot_60i_5g-14072.php,20:9,110.00,720x1600,6.75",N/A,SUCCESS,2025-12-16 19:35:07
50,"Hot 6 Pro",https://www.gsmarena.com/infinix_hot_6_pro-9425.php,18:9,92.90,720x1440,6.0",N/A,SUCCESS,2025-12-16 19:36:08
51,"Hot 6X",https://www.gsmarena.com/infinix_hot_6x-9423.php,N/A,N/A,720x1500,6.2",N/A,FAILED,2025-12-16 19:37:09
52,"Hot 7",https://www.gsmarena.com/infinix_hot_7-9658.php,18:9,99.20,720x1440,6.2",N/A,SUCCESS,2025-12-16 19:38:10
53,"Hot 7 Pro",https://www.gsmarena.com/infinix_hot_7_pro-9679.php,19:9,95.95,720x1520,6.2",N/A,SUCCESS,2025-12-16 19:39:11
54,"Hot 8",https://www.gsmarena.com/infinix_hot_8-9856.php,20:9,102.63,720x1600,6.52",N/A,SUCCESS,2025-12-16 19:40:12
55,"Hot 8 Lite",https://www.gsmarena.com/infinix_hot_8_lite-9927.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 19:41:14
56,"Hot 9",https://www.gsmarena.com/infinix_hot_9-10156.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 19:42:15
57,"Hot 9 Play",https://www.gsmarena.com/infinix_hot_9_play-10285.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 19:43:16
58,"Hot 9 Pro",https://www.gsmarena.com/infinix_hot_9_pro-10272.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 19:44:17
59,"Hot S",https://www.gsmarena.com/infinix_hot_s-9474.php,16:9,74.54,720x1280,5.2",N/A,SUCCESS,2025-12-16 19:45:18
60,"Hot S3",https://www.gsmarena.com/infinix_hot_s3-9421.php,18:9,83.84,720x1440,5.7",N/A,SUCCESS,2025-12-16 19:46:20
61,"Note 10",https://www.gsmarena.com/infinix_note_10-10909.php,N/A,N/A,1080x2460,6.95",N/A,FAILED,2025-12-16 19:47:21
62,"Note 10 Pro",https://www.gsmarena.com/infinix_note_10_pro-10907.php,1326:1,0.24,1080x2460,6.95",N/A,SUCCESS,2025-12-16 19:48:22
63,"Note 10 Pro NFC",https://www.gsmarena.com/infinix_note_10_pro_nfc-10908.php,N/A,N/A,1080x2460,6.95",N/A,FAILED,2025-12-16 19:49:23
64,"Note 11",https://www.gsmarena.com/infinix_note_11-11201.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 19:50:24
65,"Note 11 Pro",https://www.gsmarena.com/infinix_note_11_pro-11157.php,1610:1,0.19,1080x2460,6.95",N/A,SUCCESS,2025-12-16 19:51:25
66,"Note 11i",https://www.gsmarena.com/infinix_note_11i-11214.php,N/A,N/A,1080x2460,6.95",N/A,FAILED,2025-12-16 19:52:27
67,"Note 11s",https://www.gsmarena.com/infinix_note_11s-11202.php,N/A,N/A,1080x2460,6.95",N/A,FAILED,2025-12-16 19:53:28
68,"Note 12",https://www.gsmarena.com/infinix_note_12-11497.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 19:54:29
69,"Note 12 (2023)",https://www.gsmarena.com/infinix_note_12_(2023)-11912.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 19:55:30
70,"Note 12 5G",https://www.gsmarena.com/infinix_note_12_5g-11662.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 19:56:31
71,"Note 12 G96",https://www.gsmarena.com/infinix_note_12_g96-11526.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 19:57:32
72,"Note 12 Pro",https://www.gsmarena.com/infinix_note_12_pro-11695.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 19:58:34
73,"Note 12 Pro 5G",https://www.gsmarena.com/infinix_note_12_pro_5g-11663.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 19:59:35
74,"Note 12 VIP",https://www.gsmarena.com/infinix_note_12_vip-11527.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 20:00:36
75,"Note 12i",https://www.gsmarena.com/infinix_note_12i-11523.php,N/A,N/A,720x1640,6.82",N/A,FAILED,2025-12-16 20:01:37
76,"Note 12i 2022",https://www.gsmarena.com/infinix_note_12i_2022-11919.php,20:9,108.38,1080x2400,6.7",N/A,SUCCESS,2025-12-16 20:02:38
77,"Note 3",https://www.gsmarena.com/infinix_note_3-9475.php,16:9,99.24,1080x1920,6.0",N/A,SUCCESS,2025-12-16 20:03:39
78,"Note 30",https://www.gsmarena.com/infinix_note_30-12288.php,1521:1,0.19,1080x2460,6.78",N/A,SUCCESS,2025-12-16 20:04:40
79,"Note 30 5G",https://www.gsmarena.com/infinix_note_30_5g-12272.php,1521:1,0.19,1080x2460,6.78",N/A,SUCCESS,2025-12-16 20:05:42
80,"Note 30 Pro",https://www.gsmarena.com/infinix_note_30_pro-12273.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-16 20:06:43
81,"Note 30 VIP",https://www.gsmarena.com/infinix_note_30_vip-12365.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-16 20:07:44
82,"Note 30i",https://www.gsmarena.com/infinix_note_30i-12274.php,20:9,107.09,1080x2400,6.66",N/A,SUCCESS,2025-12-16 20:08:45
83,"Note 3 Pro",https://www.gsmarena.com/infinix_note_3_pro-9476.php,16:9,99.24,1080x1920,6.0",N/A,SUCCESS,2025-12-16 20:09:46
84,"Note 4",https://www.gsmarena.com/infinix_note_4-9418.php,16:9,89.57,1080x1920,5.7",N/A,SUCCESS,2025-12-16 20:10:47
85,"Note 40",https://www.gsmarena.com/infinix_note_40-12877.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 20:11:48
86,"Note 40 5G",https://www.gsmarena.com/infinix_note_40_5g-13035.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 20:12:50
87,"Note 40 Pro+",https://www.gsmarena.com/infinix_note_40_pro+-12874.php,41:51,144.82,1080x2436,6.78",N/A,SUCCESS,2025-12-16 20:13:51
88,"Note 40 Pro",https://www.gsmarena.com/infinix_note_40_pro-12875.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 20:14:52
89,"Note 40 Pro 4G",https://www.gsmarena.com/infinix_note_40_pro_4g-12876.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 20:15:53
90,"Note 40S",https://www.gsmarena.com/infinix_note_40s-13460.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 20:16:54
91,"Note 40X 5G",https://www.gsmarena.com/infinix_note_40x_5g-13246.php,N/A,N/A,1080x2460,6.78",N/A,FAILED,2025-12-16 20:17:55
92,"Note 4 Pro",https://www.gsmarena.com/infinix_note_4_pro-9419.php,16:9,89.57,1080x1920,5.7",N/A,SUCCESS,2025-12-16 20:18:57
93,"Note 5",https://www.gsmarena.com/infinix_note_5-9417.php,18:9,92.90,1080x2160,6.0",N/A,SUCCESS,2025-12-16 20:19:58
94,"Note 50 4G",https://www.gsmarena.com/infinix_note_50_4g-13705.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 20:20:59
95,"Note 50 Pro+",https://www.gsmarena.com/infinix_note_50_pro+-13746.php,25:08,86.09,1080x2436,6.78",N/A,SUCCESS,2025-12-16 20:22:00
96,"Note 50 Pro 4G",https://www.gsmarena.com/infinix_note_50_pro_4g-13701.php,25:36,138.94,1080x2436,6.78",N/A,SUCCESS,2025-12-16 20:23:01
97,"Note 50s",https://www.gsmarena.com/infinix_note_50s_5g-13793.php,N/A,N/A,1080x2436,6.78",N/A,FAILED,2025-12-16 20:24:02
98,"Note 50x",https://www.gsmarena.com/infinix_note_50x-13747.php,20:9,107.41,720x1600,6.67",N/A,SUCCESS,2025-12-16 20:25:04
99,"Note 5 Stylus",https://www.gsmarena.com/infinix_note_5_stylus-9416.php,18:9,92.90,1080x2160,6.0",N/A,SUCCESS,2025-12-16 20:26:05
100,"Note 6",https://www.gsmarena.com/infinix_note_6-9761.php,18:9,93.21,1080x2160,6.01",N/A,SUCCESS,2025-12-16 20:27:06
101,"Note 7",https://www.gsmarena.com/infinix_note_7-10175.php,N/A,N/A,720x1640,6.95",N/A,FAILED,2025-12-16 20:28:07
102,"Note 7 Lite",https://www.gsmarena.com/infinix_note_7_lite-10177.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:29:08
103,"Note 8",https://www.gsmarena.com/infinix_note_8-10514.php,N/A,N/A,720x1640,6.95",N/A,FAILED,2025-12-16 20:30:09
104,"Note 8i",https://www.gsmarena.com/infinix_note_8i-10515.php,N/A,N/A,720x1640,6.78",N/A,FAILED,2025-12-16 20:31:11
105,"S2 Pro",https://www.gsmarena.com/infinix_s2_pro-9422.php,16:9,74.54,720x1280,5.2",N/A,SUCCESS,2025-12-16 20:32:12
106,"S3X",https://www.gsmarena.com/infinix_s3x-9420.php,N/A,N/A,720x1500,6.2",N/A,FAILED,2025-12-16 20:33:13
107,"S4",https://www.gsmarena.com/infinix_s4-9678.php,19:9,95.95,720x1520,6.2",N/A,SUCCESS,2025-12-16 20:34:14
108,"S5",https://www.gsmarena.com/infinix_s5-9915.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:35:15
109,"S5 lite",https://www.gsmarena.com/infinix_s5_lite-10008.php,20:9,105.17,720x1600,6.6",N/A,SUCCESS,2025-12-16 20:36:16
110,"S5 Pro",https://www.gsmarena.com/infinix_s5_pro-10116.php,19.5:9,104.67,1080x2340,6.53",N/A,SUCCESS,2025-12-16 20:37:17
111,"S5 Pro (16+32)",https://www.gsmarena.com/infinix_s5_pro_(16+32)-10128.php,19.5:9,104.67,1080x2340,6.53",N/A,SUCCESS,2025-12-16 20:38:19
