ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
40,"Black Shark 2 Pro",https://www.gsmarena.com/xiaomi_black_shark_2_pro-9779.php,19.5:9,100.23,1080x2340,6.39",N/A,SUCCESS,2025-12-15 18:49:46
41,"Black Shark 3",https://www.gsmarena.com/xiaomi_black_shark_3-10110.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:50:47
42,"Black Shark 3 Pro",https://www.gsmarena.com/xiaomi_black_shark_3_pro-10109.php,19.5:9,123.74,1440x3120,7.1",N/A,SUCCESS,2025-12-15 18:51:48
43,"Black Shark 3S",https://www.gsmarena.com/xiaomi_black_shark_3s-10350.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:52:50
44,"Black Shark 4",https://www.gsmarena.com/xiaomi_black_shark_4-10714.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:53:51
45,"Black Shark 4 Pro",https://www.gsmarena.com/xiaomi_black_shark_4_pro-10805.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:54:52
46,"Black Shark 4S",https://www.gsmarena.com/xiaomi_black_shark_4s-11153.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:55:53
47,"Black Shark 4S Pro",https://www.gsmarena.com/xiaomi_black_shark_4s_pro-11152.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:56:54
48,"Black Shark 5",https://www.gsmarena.com/xiaomi_black_shark_5-11454.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:57:55
49,"Black Shark 5 Pro",https://www.gsmarena.com/xiaomi_black_shark_5_pro-11453.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:58:57
50,"Black Shark 5 RS",https://www.gsmarena.com/xiaomi_black_shark_5_rs-11455.php,20:9,107.41,1080x2400,6.67",N/A,SUCCESS,2025-12-15 18:59:58
51,"Black Shark GS3 Ultra",https://www.gsmarena.com/xiaomi_black_shark_gs3_ultra-14309.php,N/A,N/A,466x466,1.43",N/A,FAILED,2025-12-15 19:00:59
52,"Black Shark Helo",https://www.gsmarena.com/xiaomi_black_shark_helo-9382.php,18:9,93.21,1080x2160,6.01",N/A,SUCCESS,2025-12-15 19:02:00
53,"Civi",https://www.gsmarena.com/xiaomi_civi-11119.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 19:03:01
54,"Civi 1S",https://www.gsmarena.com/xiaomi_civi_1s-11487.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 19:04:02
55,"Civi 2",https://www.gsmarena.com/xiaomi_civi_2-11906.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 19:05:03
56,"Civi 3",https://www.gsmarena.com/xiaomi_civi_3-12134.php,20:9,103.58,1080x2400,6.55",N/A,SUCCESS,2025-12-15 19:06:05
57,"Civi 4 Pro",https://www.gsmarena.com/xiaomi_civi_4_pro-12888.php,20:9,103.58,1236x2750,6.55",N/A,SUCCESS,2025-12-15 19:07:06
