id,model,url,status
72,Galaxy A53 5G,https://www.gsmarena.com/samsung_galaxy_a53_5g-11268.php,pending
73,Galaxy A54,https://www.gsmarena.com/samsung_galaxy_a54-12070.php,pending
74,Galaxy A55,https://www.gsmarena.com/samsung_galaxy_a55-12824.php,pending
75,Galaxy A56,https://www.gsmarena.com/samsung_galaxy_a56-13603.php,pending
76,Galaxy A5 (2016),https://www.gsmarena.com/samsung_galaxy_a5_(2016)-7789.php,pending
77,Galaxy A5 (2017),https://www.gsmarena.com/samsung_galaxy_a5_(2017)-8494.php,pending
78,Galaxy A5 Duos,https://www.gsmarena.com/samsung_galaxy_a5_duos-6802.php,pending
79,Galaxy A6+ (2018),https://www.gsmarena.com/samsung_galaxy_a6+_(2018)-9156.php,pending
80,Galaxy A60,https://www.gsmarena.com/samsung_galaxy_a60-9616.php,pending
81,Galaxy A6 (2018),https://www.gsmarena.com/samsung_galaxy_a6_(2018)-9155.php,pending
82,Galaxy A6s,https://www.gsmarena.com/samsung_galaxy_a6s-9352.php,pending
83,Galaxy A7,https://www.gsmarena.com/samsung_galaxy_a7-6763.php,pending
84,Galaxy A70,https://www.gsmarena.com/samsung_galaxy_a70-9646.php,pending
85,Galaxy A70s,https://www.gsmarena.com/samsung_galaxy_a70s-9899.php,pending
86,Galaxy A71,https://www.gsmarena.com/samsung_galaxy_a71-9995.php,pending
87,Galaxy A71 5G,https://www.gsmarena.com/samsung_galaxy_a71_5g-10146.php,pending
88,Galaxy A71 5G UW,https://www.gsmarena.com/samsung_galaxy_a71_5g_uw-10276.php,pending
89,Galaxy A72,https://www.gsmarena.com/samsung_galaxy_a72-10469.php,pending
90,Galaxy A73 5G,https://www.gsmarena.com/samsung_galaxy_a73_5g-11257.php,pending
91,Galaxy A7 (2016),https://www.gsmarena.com/samsung_galaxy_a7_(2016)-7759.php,pending
92,Galaxy A7 (2017),https://www.gsmarena.com/samsung_galaxy_a7_(2017)-8335.php,pending
93,Galaxy A7 (2018),https://www.gsmarena.com/samsung_galaxy_a7_(2018)-9340.php,pending
94,Galaxy A7 Duos,https://www.gsmarena.com/samsung_galaxy_a7_duos-7132.php,pending
95,Galaxy A8+ (2018),https://www.gsmarena.com/samsung_galaxy_a8+_(2018)-8790.php,pending
96,Galaxy A8,https://www.gsmarena.com/samsung_galaxy_a8-7249.php,pending
97,Galaxy A80,https://www.gsmarena.com/samsung_galaxy_a80-9659.php,pending
98,Galaxy A8 (2016),https://www.gsmarena.com/samsung_galaxy_a8_(2016)-7801.php,pending
99,Galaxy A8 (2018),https://www.gsmarena.com/samsung_galaxy_a8_(2018)-8886.php,pending
100,Galaxy A8 Duos,https://www.gsmarena.com/samsung_galaxy_a8_duos-7506.php,pending
101,Galaxy A8 Star (A9 Star),https://www.gsmarena.com/samsung_galaxy_a8_star_(a9_star)-9220.php,pending
102,Galaxy A8s,https://www.gsmarena.com/samsung_galaxy_a8s-9432.php,pending
103,Galaxy A90 5G,https://www.gsmarena.com/samsung_galaxy_a90_5g-9795.php,pending
104,Galaxy A9 (2016),https://www.gsmarena.com/samsung_galaxy_a9_(2016)-7641.php,pending
105,Galaxy A9 (2018),https://www.gsmarena.com/samsung_galaxy_a9_(2018)-9344.php,pending
106,Galaxy A9 Pro (2016),https://www.gsmarena.com/samsung_galaxy_a9_pro_(2016)-7903.php,pending
107,Galaxy A Quantum,https://www.gsmarena.com/samsung_galaxy_a_quantum-10243.php,pending
108,Galaxy F02s,https://www.gsmarena.com/samsung_galaxy_f02s-10824.php,pending
109,Galaxy F04,https://www.gsmarena.com/samsung_galaxy_f04-12054.php,pending
110,Galaxy F05,https://www.gsmarena.com/samsung_galaxy_f05-13345.php,pending
111,Galaxy F06 5G,https://www.gsmarena.com/samsung_galaxy_f06_5g-13663.php,pending
112,Galaxy F07,https://www.gsmarena.com/samsung_galaxy_f07-14205.php,pending
113,Galaxy F12,https://www.gsmarena.com/samsung_galaxy_f12-10825.php,pending
114,Galaxy F13,https://www.gsmarena.com/samsung_galaxy_f13-11624.php,pending
