ID,Modelo,URL,Ratio,Area_cm2,Resolução,Tamanho,PPI,Status,Extraído_em
38,"iPhone 6",https://www.gsmarena.com/apple_iphone_6-6378.php,16:9,60.90,750x1334,4.7",N/A,SUCCESS,2025-12-16 22:09:43
39,"iPhone 6 Plus",https://www.gsmarena.com/apple_iphone_6_plus-6665.php,16:9,83.39,1080x1920,5.5",N/A,SUCCESS,2025-12-16 22:10:44
40,"iPhone 6s",https://www.gsmarena.com/apple_iphone_6s-7242.php,16:9,60.90,750x1334,4.7",N/A,SUCCESS,2025-12-16 22:11:45
41,"iPhone 6s Plus",https://www.gsmarena.com/apple_iphone_6s_plus-7243.php,16:9,83.39,1080x1920,5.5",N/A,SUCCESS,2025-12-16 22:12:46
42,"iPhone 7",https://www.gsmarena.com/apple_iphone_7-8064.php,16:9,60.90,750x1334,4.7",N/A,SUCCESS,2025-12-16 22:13:47
43,"iPhone 7 Plus",https://www.gsmarena.com/apple_iphone_7_plus-8065.php,16:9,83.39,1080x1920,5.5",N/A,SUCCESS,2025-12-16 22:14:49
44,"iPhone 8",https://www.gsmarena.com/apple_iphone_8-8573.php,16:9,60.90,750x1334,4.7",N/A,SUCCESS,2025-12-16 22:15:50
45,"iPhone 8 Plus",https://www.gsmarena.com/apple_iphone_8_plus-8131.php,16:9,83.39,1080x1920,5.5",N/A,SUCCESS,2025-12-16 22:16:51
46,"iPhone SE",https://www.gsmarena.com/apple_iphone_se-7969.php,16:9,44.11,640x1136,4.0",N/A,SUCCESS,2025-12-16 22:17:52
47,"iPhone SE (2020)",https://www.gsmarena.com/apple_iphone_se_(2020)-10170.php,16:9,60.90,750x1334,4.7",N/A,SUCCESS,2025-12-16 22:18:53
48,"iPhone SE (2022)",https://www.gsmarena.com/apple_iphone_se_(2022)-11410.php,16:9,60.90,750x1334,4.7",N/A,SUCCESS,2025-12-16 22:19:54
49,"iPhone X",https://www.gsmarena.com/apple_iphone_x-8858.php,19.5:9,82.58,1125x2436,5.8",N/A,SUCCESS,2025-12-16 22:20:56
50,"iPhone XR",https://www.gsmarena.com/apple_iphone_xr-9320.php,19.5:9,91.34,828x1792,6.1",N/A,SUCCESS,2025-12-16 22:21:57
51,"iPhone XS",https://www.gsmarena.com/apple_iphone_xs-9318.php,19.5:9,82.58,1125x2436,5.8",N/A,SUCCESS,2025-12-16 22:22:58
52,"iPhone XS Max",https://www.gsmarena.com/apple_iphone_xs_max-9319.php,19.5:9,103.71,1242x2688,6.5",N/A,SUCCESS,2025-12-16 22:23:59
