id,model,url,status
75,Mi 11i,https://www.gsmarena.com/xiaomi_mi_11i-10777.php,pending
76,Mi 11X,https://www.gsmarena.com/xiaomi_mi_11x-10775.php,pending
77,Mi 11X Pro,https://www.gsmarena.com/xiaomi_mi_11x_pro-10776.php,pending
78,Mi 1S,https://www.gsmarena.com/xiaomi_mi_1s-4929.php,pending
79,Mi 2,https://www.gsmarena.com/xiaomi_mi_2-4928.php,pending
80,Mi 2A,https://www.gsmarena.com/xiaomi_mi_2a-5646.php,pending
81,Mi 2S,https://www.gsmarena.com/xiaomi_mi_2s-5397.php,pending
82,Mi 3,https://www.gsmarena.com/xiaomi_mi_3-5678.php,pending
83,Mi 4,https://www.gsmarena.com/xiaomi_mi_4-6518.php,pending
84,Mi 4 LTE,https://www.gsmarena.com/xiaomi_mi_4_lte-6866.php,pending
85,Mi 4c,https://www.gsmarena.com/xiaomi_mi_4c-7512.php,pending
86,Mi 4i,https://www.gsmarena.com/xiaomi_mi_4i-7211.php,pending
87,Mi 4s,https://www.gsmarena.com/xiaomi_mi_4s-7962.php,pending
88,Mi 5,https://www.gsmarena.com/xiaomi_mi_5-6948.php,pending
89,Mi 5c,https://www.gsmarena.com/xiaomi_mi_5c-8439.php,pending
90,Mi 5s,https://www.gsmarena.com/xiaomi_mi_5s-7260.php,pending
91,Mi 5s Plus,https://www.gsmarena.com/xiaomi_mi_5s_plus-8350.php,pending
92,Mi 6,https://www.gsmarena.com/xiaomi_mi_6-8507.php,pending
93,Mi 6 Plus,https://www.gsmarena.com/xiaomi_mi_6_plus-8629.php,pending
94,Mi 6c,https://www.gsmarena.com/xiaomi_mi_6c-8798.php,pending
95,Mi 8,https://www.gsmarena.com/xiaomi_mi_8-9065.php,pending
96,Mi 8 Explorer,https://www.gsmarena.com/xiaomi_mi_8_explorer-9218.php,pending
97,Mi 8 Lite,https://www.gsmarena.com/xiaomi_mi_8_lite-9329.php,pending
98,Mi 8 Pro,https://www.gsmarena.com/xiaomi_mi_8_pro-9336.php,pending
99,Mi 8 SE,https://www.gsmarena.com/xiaomi_mi_8_se-9219.php,pending
100,Mi 9,https://www.gsmarena.com/xiaomi_mi_9-9507.php,pending
101,Mi 9 Explorer,https://www.gsmarena.com/xiaomi_mi_9_explorer-9584.php,pending
102,Mi 9 Lite,https://www.gsmarena.com/xiaomi_mi_9_lite-9862.php,pending
103,Mi 9 Pro,https://www.gsmarena.com/xiaomi_mi_9_pro-9891.php,pending
104,Mi 9 Pro 5G,https://www.gsmarena.com/xiaomi_mi_9_pro_5g-9892.php,pending
105,Mi 9 SE,https://www.gsmarena.com/xiaomi_mi_9_se-9583.php,pending
106,Mi 9T,https://www.gsmarena.com/xiaomi_mi_9t-9738.php,pending
107,Mi 9T Pro,https://www.gsmarena.com/xiaomi_mi_9t_pro-9791.php,pending
108,Mi 9X,https://www.gsmarena.com/xiaomi_mi_9x-9650.php,pending
109,Mi A1 (Mi 5X),https://www.gsmarena.com/xiaomi_mi_a1_(mi_5x)-8776.php,pending
110,Mi A2 (Mi 6X),https://www.gsmarena.com/xiaomi_mi_a2_(mi_6x)-9140.php,pending
111,Mi A2 Lite (Redmi 6 Pro),https://www.gsmarena.com/xiaomi_mi_a2_lite_(redmi_6_pro)-9247.php,pending
112,Mi A3,https://www.gsmarena.com/xiaomi_mi_a3-9769.php,pending
113,Mi CC9,https://www.gsmarena.com/xiaomi_mi_cc9-9749.php,pending
114,Mi CC9 Pro,https://www.gsmarena.com/xiaomi_mi_cc9_pro-9935.php,pending
115,Mi CC9e,https://www.gsmarena.com/xiaomi_mi_cc9e-9759.php,pending
116,Mi Max,https://www.gsmarena.com/xiaomi_mi_max-8057.php,pending
117,Mi Max 2,https://www.gsmarena.com/xiaomi_mi_max_2-8582.php,pending
118,Mi Max 3,https://www.gsmarena.com/xiaomi_mi_max_3-8963.php,pending
119,Mi Max 4,https://www.gsmarena.com/xiaomi_mi_max_4-9551.php,pending
120,Mi Max 4 Pro,https://www.gsmarena.com/xiaomi_mi_max_4_pro-9552.php,pending
121,Mi Mix,https://www.gsmarena.com/xiaomi_mi_mix-8400.php,pending
122,Mi Mix 2,https://www.gsmarena.com/xiaomi_mi_mix_2-8529.php,pending
123,Mi Mix 2S,https://www.gsmarena.com/xiaomi_mi_mix_2s-9067.php,pending
124,Mi Mix 3,https://www.gsmarena.com/xiaomi_mi_mix_3-9378.php,pending
125,Mi Mix 3 5G,https://www.gsmarena.com/xiaomi_mi_mix_3_5g-9602.php,pending
126,Mi Mix Alpha,https://www.gsmarena.com/xiaomi_mi_mix_alpha-9893.php,pending
127,Mi Mix Fold,https://www.gsmarena.com/xiaomi_mi_mix_fold-10817.php,pending
128,Mi Note,https://www.gsmarena.com/xiaomi_mi_note-6944.php,pending
129,Mi Note 10,https://www.gsmarena.com/xiaomi_mi_note_10-9936.php,pending
130,Mi Note 10 Lite,https://www.gsmarena.com/xiaomi_mi_note_10_lite-10183.php,pending
131,Mi Note 10 Pro,https://www.gsmarena.com/xiaomi_mi_note_10_pro-9945.php,pending
132,Mi Note 2,https://www.gsmarena.com/xiaomi_mi_note_2-8014.php,pending
133,Mi Note 3,https://www.gsmarena.com/xiaomi_mi_note_3-8707.php,pending
134,Mi Note Plus,https://www.gsmarena.com/xiaomi_mi_note_plus-6960.php,pending
135,Mi Note Pro,https://www.gsmarena.com/xiaomi_mi_note_pro-6952.php,pending
136,Mi Play,https://www.gsmarena.com/xiaomi_mi_play-9499.php,pending
137,Mix 4,https://www.gsmarena.com/xiaomi_mix_4-11040.php,pending
138,Mix Flip,https://www.gsmarena.com/xiaomi_mix_flip-13221.php,pending
139,Mix Flip 2,https://www.gsmarena.com/xiaomi_mix_flip_2_5g-13980.php,pending
140,Mix Fold 2,https://www.gsmarena.com/xiaomi_mix_fold_2-11758.php,pending
141,Mix Fold 3,https://www.gsmarena.com/xiaomi_mix_fold_3-12468.php,pending
142,Mix Fold 4,https://www.gsmarena.com/xiaomi_mix_fold_4-13222.php,pending
143,Poco C3,https://www.gsmarena.com/xiaomi_poco_c3-10482.php,pending
144,Poco C31,https://www.gsmarena.com/xiaomi_poco_c31-11134.php,pending
145,Poco C40,https://www.gsmarena.com/xiaomi_poco_c40-11468.php,pending
146,Poco C50,https://www.gsmarena.com/xiaomi_poco_c50-12053.php,pending
147,Poco C51,https://www.gsmarena.com/xiaomi_poco_c51-12215.php,pending
148,Poco C55,https://www.gsmarena.com/xiaomi_poco_c55-12126.php,pending
149,Poco C61,https://www.gsmarena.com/xiaomi_poco_c61-12886.php,pending
150,Poco C65,https://www.gsmarena.com/xiaomi_poco_c65-12684.php,pending
151,Poco C71,https://www.gsmarena.com/xiaomi_poco_c71_4g-13767.php,pending
152,Poco C75,https://www.gsmarena.com/xiaomi_poco_c75-13435.php,pending
153,Poco C75 5G,https://www.gsmarena.com/xiaomi_poco_c75_5g-13571.php,pending
154,Poco C85 4G,https://www.gsmarena.com/xiaomi_poco_c85-14110.php,pending
155,Poco C85,https://www.gsmarena.com/xiaomi_poco_c85_5g-14337.php,pending
156,Poco F2 Pro,https://www.gsmarena.com/xiaomi_poco_f2_pro-10220.php,pending
157,Poco F3,https://www.gsmarena.com/xiaomi_poco_f3-10758.php,pending
158,Poco F3 GT,https://www.gsmarena.com/xiaomi_poco_f3_gt-10886.php,pending
159,Poco F4,https://www.gsmarena.com/xiaomi_poco_f4-11627.php,pending
160,Poco F4 GT,https://www.gsmarena.com/xiaomi_poco_f4_gt-11479.php,pending
161,Poco F5,https://www.gsmarena.com/xiaomi_poco_f5-12258.php,pending
162,Poco F5 Pro,https://www.gsmarena.com/xiaomi_poco_f5_pro-12257.php,pending
163,Poco F6,https://www.gsmarena.com/xiaomi_poco_f6-13000.php,pending
164,Poco F6 Pro,https://www.gsmarena.com/xiaomi_poco_f6_pro-12992.php,pending
165,Poco F7,https://www.gsmarena.com/xiaomi_poco_f7_5g-13951.php,pending
166,Poco F7 Pro,https://www.gsmarena.com/xiaomi_poco_f7_pro-13724.php,pending
167,Poco F7 Ultra,https://www.gsmarena.com/xiaomi_poco_f7_ultra-13723.php,pending
168,Poco F8 Pro,https://www.gsmarena.com/xiaomi_poco_f8_pro_5g-14303.php,pending
169,Poco F8 Ultra,https://www.gsmarena.com/xiaomi_poco_f8_ultra_5g-14301.php,pending
170,Poco M2,https://www.gsmarena.com/xiaomi_poco_m2-10434.php,pending
171,Poco M2 Pro,https://www.gsmarena.com/xiaomi_poco_m2_pro-10318.php,pending
172,Poco M2 Reloaded,https://www.gsmarena.com/xiaomi_poco_m2_reloaded-10867.php,pending
173,Poco M3,https://www.gsmarena.com/xiaomi_poco_m3-10599.php,pending
174,Poco M3 Pro,https://www.gsmarena.com/xiaomi_poco_m3_pro-10916.php,pending
175,Poco M3 Pro 5G,https://www.gsmarena.com/xiaomi_poco_m3_pro_5g-10857.php,pending
176,Poco M4 5G,https://www.gsmarena.com/xiaomi_poco_m4_5g-11762.php,pending
177,Poco M4 5G (India),https://www.gsmarena.com/xiaomi_poco_m4_5g_(india)-11427.php,pending
178,Poco M4 Pro,https://www.gsmarena.com/xiaomi_poco_m4_pro-11388.php,pending
179,Poco M4 Pro 5G,https://www.gsmarena.com/xiaomi_poco_m4_pro_5g-11193.php,pending
180,Poco M5,https://www.gsmarena.com/xiaomi_poco_m5-11850.php,pending
